link,name,company,position
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889341,Hardik  Bhatt,Amazon,"Leader, Digital Government"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/844002,Terry S.  Bienstock,"Mobilactive Media, LLC.",CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/810775,Bryan Biniak,Connected Travel,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892244,Shahar Bin-Nun,HumanEyes Technologies,Chief Executive Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/881684,Martha  Bird,ADP,Business Anthropologist
https://ces.techhttps://www.ces.tech/conference/speaker-directory/867997,Erin Bishop,Sense Photonics,Director of Business Development 
https://ces.techhttps://www.ces.tech/conference/speaker-directory/886700,Steve  Bishop,Procter & Gamble,Chief Executive Officer – Health Care
https://ces.techhttps://www.ces.tech/conference/speaker-directory/882217,Josh Bixler,Flite Test,President
https://ces.techhttps://www.ces.tech/conference/speaker-directory/894236,Jenna Blaha,ELLE,
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888987,Lynn Blashford,White Castle,Chief Marketing Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/843500,Rick Bleszynski,Zocial,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877127,Taylor Bloom,SportTechie,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883425,Elisabeth Bohlmann,December Labs,VP Marketing & Growth
https://ces.techhttps://www.ces.tech/conference/speaker-directory/886902,Sarah Boisvert,,
https://ces.techhttps://www.ces.tech/conference/speaker-directory/887220,Jason Bolles,Nielsen,"Senior Vice President, Advanced Advertising"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890775,Michelle Bond,Ripple,Global Head of Government and Regulatory Affairs
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888701,Anat Bonshtien,Fuel Choices and Smart Mobility Initative Israel Prime Minsiter's Office,Chairman and Director
https://ces.techhttps://www.ces.tech/conference/speaker-directory/882231,Jamie Boone,Consumer Technology Association,"Vice President, Government Affairs"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890176,"Christopher P. Boone, PhD",Pfizer Inc.,"Vice President, Global Medical Epidemiology & Big Data Analysis"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/876614,David   Borstein,FOX ,"Senior Vice President, Digital and Social Sales"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889081,Ola Boström,Veoneer Inc.  ,Vice President Research
https://ces.techhttps://www.ces.tech/conference/speaker-directory/886901,Melissa Bosworth,,
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888407,Mark Boxer,Cigna,EVP & Global CIO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889588,Steve Boyd,Peloton Technology,Co-Founder and Cheif Executive Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889840,John Bozzella,Global Automakers,President and CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/865023,Melissa Bradley,1863 Ventures,Managing Partner
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890449,Kate Brady,PepsiCo,Head of Media Innovation & Partnership Development 
https://ces.techhttps://www.ces.tech/conference/speaker-directory/861954,Jeff Brandes,Florida State Senate,State Senator
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892711,Carsten Breitfeld,Faraday Future,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888762,Chris Brereton,Inspire,VP of Product
https://ces.techhttps://www.ces.tech/conference/speaker-directory/894526,Jason Brett,Value Technology Foundation,President and CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890000,Paul Brewer,ESL North America,"Senior Vice President, Brand Partnerships"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890678,Meredith Broadbent,Center for Strategic and International Studies,Senior Adviser
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888401,Dan Brounstein,Saluda Medical,Sr. Vice President North America
https://ces.techhttps://www.ces.tech/conference/speaker-directory/814983,Sara Brown,"Multi-Tech Systems, Inc.","Vice President, Marketing"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/876886,Peter Brown,European Parliament,"Technology Adviser, First Counsellor, Liaison Office with US Congress"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889890,Lisa Brown,Johnson Controls Inc.,"National Senior Director, Strategy, Local Government & Municipal Infrastructure"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890296,David Brown,Techstars,Founder & CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892278,Isaac Brown,Landmark Ventures,Vice President
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890070,Doris Brown-McNally,HP Inc.,"WW Brand Innovation, Partern Development Manager"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883437,Angelica Bruhnke,Versatile Med,CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877060,"Cedric Bryant, PhD",American Council on Exercise,President & CSO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890421,Warren Buckleitner,Children's Technology Review,Editor
https://ces.techhttps://www.ces.tech/conference/speaker-directory/855175,Tonda Bunge Sellers,Living in Digital Times (LIDT),Producer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883430,Meg Burich,Body Digital,Principal and Founder
https://ces.techhttps://www.ces.tech/conference/speaker-directory/892182,Tyrre Burks,Player's Health,CEO and Founder
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888677,Jessica Burns,GrubHub,Head of Brand and Marketing
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889131,Stephanie Buscemi,Salesforce,EVP and Chief Marketing Officer
https://ces.techhttps://www.ces.tech/conference/speaker-directory/887005,Scott Butera,MGM Resorts International,President of Interactive Gaming
https://ces.techhttps://www.ces.tech/conference/speaker-directory/852501,Peter  Butler,Everise,General Manager
